,subset,A_ref,A_metric,A_align,A_CR_pearson,A_label,B_ref,B_metric,B_align,B_CR_pearson,B_label,A_B_pearson,A_B_sign_pv,A_B_sign_level
116,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+mw-intp,bertscore.f1,sent+mw,0.7669957666944904,bertscore.f1 ref+mw-intp sent+mw,0.7395084473943121,4.578559753554146e-13,0.0
117,both,ref+mw-intp,bertscore.f1,sent+mw,0.7669957666944904,bertscore.f1 ref+mw-intp sent+mw,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7395084473943121,4.578559753554146e-13,0.0
118,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,bertscore.f1,sent,0.7676298658254183,bertscore.f1 ref sent,0.728419016132522,8.65085780787922e-13,0.0
119,both,ref,bertscore.f1,sent,0.7676298658254183,bertscore.f1 ref sent,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.728419016132522,8.65085780787922e-13,0.0
120,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref+intp,comet-da,one_seq,0.7883510310112323,comet-da ref+intp one_seq,0.7562057024419804,0.0,0.0
121,both,ref+intp,comet-da,one_seq,0.7883510310112323,comet-da ref+intp one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7562057024419804,0.0,0.0
122,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,comet-da,one_seq,0.7923651239029432,comet-da ref one_seq,0.739366708532127,0.0,0.0
123,both,ref,comet-da,one_seq,0.7923651239029432,comet-da ref one_seq,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.739366708532127,0.0,0.0
124,both,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,ref,comet-da,sent,0.796103953683119,comet-da ref sent,0.7107709847509346,0.0,0.0
125,both,ref,comet-da,sent,0.796103953683119,comet-da ref sent,intp,bleu,one_seq,0.6487256093819578,bleu intp one_seq,0.7107709847509346,0.0,0.0
126,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,ref,bleu,sent,0.6539359872387543,bleu ref sent,0.7306674692832571,0.8462507224497755,0.8462507224497755
127,both,ref,bleu,sent,0.6539359872387543,bleu ref sent,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.7306674692832571,0.8462507224497755,0.8462507224497755
128,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,intp,chrf,one_seq,0.6616671905938879,chrf intp one_seq,0.8290066037756142,0.4482128791131219,0.4482128791131219
129,both,intp,chrf,one_seq,0.6616671905938879,chrf intp one_seq,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.8290066037756142,0.4482128791131219,0.4482128791131219
130,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,ref+mw-intp,bleu,sent+mw,0.6767748075810378,bleu ref+mw-intp sent+mw,0.7724770427061516,0.11606385911005002,0.15
131,both,ref+mw-intp,bleu,sent+mw,0.6767748075810378,bleu ref+mw-intp sent+mw,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.7724770427061516,0.11606385911005002,0.15
132,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,0.8044771087244711,0.014673332217905566,0.05
133,both,intp,bertscore.f1,one_seq,0.6882929980244962,bertscore.f1 intp one_seq,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.8044771087244711,0.014673332217905566,0.05
134,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,0.7673233730017593,0.0006699416080500065,0.0
135,both,intp,comet-da,mwer,0.7066723834504169,comet-da intp mwer,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,0.7673233730017593,0.0006699416080500065,0.0
136,both,intp,chrf,mwer,0.6503600967163684,chrf intp mwer,ref,bleu,one_seq,0.7095519042055043,bleu ref one_seq,0.7622181832587217,0.00038469731155710285,0.0
